# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
4.885415036260240385e+01, 6.172679605572074096e-02, 4.803619219738320713e-03
4.891093032957863329e+01, 6.999999999999997891e-02, 1.090191410043572784e-03
4.925262169353577946e+01, 5.891023634371571338e-02, 3.647037261912761119e-03
4.935919927320572498e+01, 7.490272861125903126e-02, 1.937439303279969499e-03
4.955587728909065248e+01, 6.751956487713250965e-02, 1.372521809448680463e-02
4.993362298454481873e+01, 7.678495711128595358e-02, 8.550479682634393175e-04
5.196349973674188760e+01, 7.400127355133537255e-02, 4.107581263179796438e-03
5.276589079289496453e+01, 7.572131198897277815e-02, 1.937439303279969499e-03
5.370819637919341716e+01, 6.424127406479883395e-02, 4.890011543930775952e-03
5.381633291614519266e+01, 7.274999999999998135e-02, 1.161688230318605247e-03
5.435356035211929537e+01, 7.522414711318568814e-02, 1.937439303279969499e-03
5.442687953252985267e+01, 6.799929566442317053e-02, 1.373536627213770012e-02
5.585022399047649344e+01, 7.491431972682559282e-02, 1.874941261238702306e-03
5.741836149353358110e+01, 7.243750000000000189e-02, 1.230461530027288086e-03
5.855050346950489626e+01, 6.816442322742208293e-02, 5.762694886100400149e-03
5.923136119371838504e+01, 7.646149632180303246e-02, 2.477099254156830965e-03
5.932396827881257195e+01, 6.534864611050238137e-02, 1.332913442435888079e-02
6.350240318862100253e+01, 7.258689578367405471e-02, 9.474881695070798762e-03
6.359074190014087691e+01, 7.083581155110343919e-02, 5.616609150065135503e-03
6.436029373402203646e+01, 6.848959148536541697e-02, 1.363332061725195526e-02
6.905651640841024630e+01, 8.994287055877285553e-02, 5.001307237554292184e-03
6.942270569207489928e+01, 6.850015651901704417e-02, 1.376664231236857279e-02
7.309046799186101850e+01, 7.836868054468609790e-02, 6.417942994545886883e-03
7.428327333437682967e+01, 7.023203944279224342e-02, 1.424704027340134398e-02
7.609129605553454212e+01, 8.398082181518526368e-02, 7.378981383731747501e-04
7.657926614825524325e+01, 7.824005509749522302e-02, 5.103611181787897320e-03
7.867673205423783145e+01, 7.385985307334619332e-02, 8.074569569768000332e-03
7.925699118276199329e+01, 8.088589763656280074e-02, 2.518735084639150967e-03
7.935351124328271055e+01, 6.930349037408041479e-02, 1.375778920546616262e-02
8.280247300046953285e+01, 8.292807951166061842e-02, 6.908366648606444581e-03
8.421016591015808217e+01, 7.150493034903733502e-02, 1.458073325697262224e-02
8.944181405540777519e+01, 7.370715291907962985e-02, 1.506110668025254992e-02
9.289599311316324304e+01, 8.670566598841754347e-02, 7.242320238627475426e-03
9.450292168831843753e+01, 7.387423696979177057e-02, 1.475785818880583078e-02
9.815833691532185412e+01, 8.453093861123051056e-02, 9.206757883967964240e-03
9.973196118328384330e+01, 7.638949757395517570e-02, 1.539472613222175705e-02
1.011129889414247174e+02, 8.610033800945644800e-02, 4.821112843806762104e-03
1.011449899948878368e+02, 9.104109075926136718e-02, 9.241506100400308536e-04
1.028085381123806599e+02, 8.970026608232896381e-02, 7.576705954398897137e-03
1.125257604215578624e+02, 9.363358898106113881e-02, 7.909868865349473088e-03
1.224213491939271137e+02, 9.866293629675998433e-02, 8.085289913590547675e-03
1.242929643233949406e+02, 9.615030674846623826e-02, 8.303763836890644054e-03
1.247078311681535752e+02, 9.428509938957578551e-02, 2.926138089556065257e-03
1.313661541166816278e+02, 9.021150013676684787e-02, 6.127066838094136214e-03
1.321072676996921871e+02, 1.063527156049459410e-01, 8.576332809077351002e-03
1.324895959517017729e+02, 1.017968231018717556e-01, 9.574123133371985686e-03
1.418284029842959058e+02, 1.098164814524964505e-01, 9.064465959857435570e-03
1.595589269665116774e+02, 1.080951799460747598e-01, 7.723695826143710773e-03
1.617518854284709846e+02, 1.021497303739595658e-01, 5.770893747866199554e-03
1.770587804306201463e+02, 1.112497557735141196e-01, 6.801819246364775549e-03
1.859227365089288924e+02, 1.159579539681919319e-01, 8.069668516363717736e-03
2.083971904185065114e+02, 1.275723398851158485e-01, 9.674292936463491088e-03
