! Elab, sigma
1.386001e+5, 6.062761E-2
1.543001e+5, 8.576528E-2
1.726001e+5, 1.216344E-1
1.942001e+5, 1.734217E-1
2.204001e+5, 2.500164E-1
2.564001e+5, 3.771586E-1
3.236001e+5, 6.379348E-1
3.638001e+5, 7.578683E-1
4.015001e+5, 8.162117E-1
4.432001e+5, 8.181777E-1
5.011001e+5, 7.483605E-1
6.227001e+5, 5.401664E-1
7.087001e+5, 4.234990E-1
7.944001e+5, 3.384134E-1
8.749826e+5, 2.811828E-1
9.639155e+5, 2.386378E-1
1.070591e+6, 2.059535E-1
1.245423e+6, 1.738605E-1
1.483485e+6, 1.426834E-1
1.731524e+6, 1.204707E-1
2.016589e+6, 1.040932E-1
2.394573e+6, 9.061750E-2
2.866142e+6, 8.078142E-2
3.515654e+6, 7.414979E-2
4.864335e+6, 6.785199E-2
7.203594e+6, 5.963454E-2
1.026353e+7, 4.531420E-2
1.248882e+7, 3.850040E-2
1.587079e+7, 3.159591E-2
1.963925e+7, 2.611499E-2
2.377534e+7, 2.202121E-2
